timestep,wound_area_pct,margin_cells,wound_edges,cum_T1,cum_seals,cum_divisions
139,69.7429199447859,14,18,10,0,8
140,69.7132904189271,14,18,10,0,8
141,69.6519404996383,14,18,10,0,8
142,69.6207445558585,14,18,10,0,8
143,69.5254335614418,14,18,10,0,8
144,69.4097660883806,14,18,10,0,8
145,69.2697448579126,14,18,10,0,8
146,69.1674733667861,14,18,10,0,8
147,69.0577231215777,14,18,10,0,8
148,68.9853810678222,14,18,10,0,8
149,68.89660135431,14,18,10,0,8
150,68.8347299410248,14,18,10,0,8
151,68.7552158462054,14,18,10,0,8
152,68.7000973890215,14,18,10,0,8
153,68.6065171794304,14,18,10,0,8
154,68.5487026596304,14,18,10,0,8
155,68.4646622668071,14,18,10,0,8
156,68.4130606181807,14,18,10,0,8
157,68.3366835271092,14,18,10,0,8
158,68.2883235219814,14,18,10,0,8
159,68.2188792215268,14,18,10,0,8
160,68.1738986669884,14,18,10,0,8
161,68.1084671994329,14,18,10,0,8
162,68.0664951434144,14,18,10,0,8
163,68.0046403042573,14,18,10,0,8
164,67.9662946856254,14,18,10,0,8
165,67.9066231608567,14,18,10,0,8
166,67.8726298577996,14,18,10,0,8
167,67.8128216226583,14,18,10,0,8
168,67.7779396541983,14,18,10,0,8
169,67.7180225697669,14,18,10,0,8
170,67.6896108569333,14,18,10,0,8
171,67.6231212047354,14,18,10,0,8
172,67.5019631770477,14,18,10,0,8
173,67.4449874195957,14,18,10,0,8
174,67.4173369169445,14,18,10,0,8
175,67.3497339878203,14,18,10,0,8
176,67.316800631285,14,18,10,0,8
177,67.2568622616594,14,18,10,0,8
178,67.2236106334191,14,18,10,0,8
179,67.167577163174,14,18,10,0,8
180,67.1352184205525,14,18,10,0,8
181,67.0815080536646,14,18,10,0,8
182,67.0611805167195,14,18,10,0,8
183,67.0027204168459,14,18,11,0,8
184,66.6259336584692,14,18,11,0,8
185,67.0773374069698,14,18,11,0,8
186,66.7748838557423,14,18,12,0,8
187,66.5534355922822,14,18,12,0,8
188,66.6269593611504,14,17,12,0,8
189,66.5764168836604,14,17,12,0,8
190,66.5433822149997,14,17,12,0,8
191,66.5048355076285,14,17,13,0,8
192,66.5907144719475,14,17,13,0,8
193,66.5769824329419,14,17,13,0,8
194,66.5581942538983,14,17,13,0,8
195,66.5175434908613,14,17,14,0,8
196,66.5716317780237,14,17,14,0,8
197,66.5452755675583,14,17,14,0,8
198,66.5179967521796,14,17,15,0,8
199,66.6957764119167,14,17,15,0,8
200,66.6474775742877,14,17,15,0,8
201,66.5759240997371,14,17,15,0,8
202,66.5265775724569,14,17,15,0,8
203,66.4569088524912,14,17,15,0,8
204,66.4084884654102,14,17,15,0,8
205,66.3406215592178,14,17,15,0,8
206,66.2952831881232,14,17,15,0,8
207,66.2302006429902,14,17,15,0,8
208,66.1858439400081,14,17,15,0,8
209,66.0999649414517,14,17,16,0,8
210,66.1411558106441,14,17,16,0,8
211,66.0140936412161,14,16,16,0,8
212,65.9594445658224,14,16,16,0,8
213,65.8848575369796,14,16,16,0,8
214,65.8342349153808,14,16,16,0,8
215,65.7418709386439,14,16,16,0,8
216,65.6789794210426,14,16,16,0,8
217,65.5953954181337,14,16,16,0,8
218,65.5361606298497,14,16,16,0,8
219,65.4564674403431,14,16,16,0,8
220,65.3997302829076,14,16,16,0,8
221,65.3228128048087,14,16,16,0,9
222,65.0693399662218,14,16,16,0,9
223,64.1012239965044,14,16,16,0,9
224,63.7660348811629,14,16,16,0,9
225,63.6352917207317,14,16,16,0,9
226,63.57648065766,14,16,16,0,9
227,63.5068482417996,14,16,16,0,9
228,63.4607377932065,14,16,16,0,9
229,63.3945902904163,14,16,16,0,9
230,63.3486988106224,14,16,16,0,9
231,63.2822968072861,14,16,16,0,9
232,63.2395249220877,14,16,16,0,9
233,63.176767886029,14,16,16,0,9
234,63.1307926054604,14,16,16,0,9
235,63.073106857447,14,16,16,0,9
236,63.0314890696175,14,16,16,0,9
237,62.9743528778944,14,16,16,0,9
238,62.9344888544626,14,16,16,0,9
239,62.8753555835803,14,16,17,0,9
240,62.3005300893137,14,16,17,0,9
241,62.4923613621078,14,16,18,0,9
242,62.4609543438746,14,16,19,0,9
243,62.4496391017348,14,16,19,0,9
244,62.4531144590567,14,16,19,0,9
245,62.4062042294119,14,16,19,0,9
246,62.3578531473893,14,16,19,0,9
247,62.2971597125188,14,16,19,0,9
248,62.2453378752039,14,16,19,0,9
249,62.1911068310184,14,16,19,0,9
250,62.1464262056403,14,16,19,0,9
