timestep,ka_factor,ka_factor_delta,contractility_factor,contractility_factor_delta
50,1.04999916176316,0.049999161763159,1.09999832352632,0.0999983235263167
100,1.15656153119329,0.106562369430128,1.31312306238657,0.213124738860258
150,1.28046470300247,0.123903171809188,1.56092940600495,0.247806343618375
200,1.40171278905903,0.121248086056559,1.80342557811807,0.242496172113119
250,1.51111612389084,0.109403334831805,2.02223224778168,0.218806669663608
300,1.60537963201661,0.094263508125769,2.21075926403322,0.188527016251539
350,1.68427354462824,0.0788939126116339,2.36854708925648,0.157787825223268
400,1.74903247710055,0.0647589324723059,2.4980649542011,0.129517864944612
450,1.80147316092948,0.0524406838289291,2.60294632185895,0.104881367657858
500,1.84352787652093,0.0420547155914544,2.68705575304186,0.0841094311829087
550,1.87701452064633,0.0334866441253991,2.75402904129266,0.0669732882507983
600,1.90353826097734,0.0265237403310048,2.80707652195467,0.0530474806620096
650,1.92446378438937,0.0209255234120393,2.84892756877875,0.0418510468240787
700,1.9409232323115,0.0164594479221265,2.881846464623,0.032918895844253
750,1.95384025774,0.0129170254285011,2.90768051548,0.0258340508570023
800,1.96395957652683,0.0101193187868294,2.92791915305366,0.0202386375736587
850,1.97187652549057,0.00791694896373918,2.94375305098114,0.0158338979274784
900,1.97806404118046,0.00618751568989406,2.95612808236093,0.0123750313797881
950,1.98289606610785,0.00483202492738366,2.9657921322157,0.00966404985476732
1000,1.98666722661711,0.00377116050925963,2.97333445323422,0.00754232101851926
